Date/Time,Word Count,en,es
2020.09.09-12.25.13,7929,0,7929
2020.09.09-12.41.21,0,0,0
2020.09.09-12.42.13,7929,0,7929
2020.09.09-15.29.47,4934,727,4934
2020.09.09-16.33.18,4980,4708,4980
2020.09.09-16.37.25,4980,4709,4980
2020.09.09-17.14.20,4958,4642,4958
2020.09.09-17.20.23,5016,4688,5016
2020.09.09-17.38.31,5016,4740,5016
2020.09.09-17.57.03,5033,4740,5033
2020.09.21-09.50.53,5538,4643,5538
2020.10.28-15.01.57,6815,4196,6815
2020.10.28-15.28.09,6971,6563,6971
2020.10.28-15.31.04,7012,6564,7012
2021.02.26-15.40.59,10707,5082,10707
2021.02.26-15.52.22,10707,5320,10707
2021.02.26-16.24.40,10707,10286,10707
2021.02.26-16.42.47,10707,10369,10707
2021.03.16-16.05.08,12664,8813,12664
2021.03.16-17.14.23,12664,12150,12664
2021.03.16-17.15.12,12958,12086,12958
2021.03.17-09.37.29,12990,12086,12990
2021.03.17-09.40.23,12991,12360,12991
